name,RA,Dec,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth
"EPIC 201841433 b",11:40:49.62,+06:08:05.33,15.0,2456811.63590000,0.0012,4.16980000000,0.0001,2.40,,0.45
"EPIC 205950854 c",22:12:26.42,-16:20:30.79,12.4,2456973.76480000,0.01000000,8.05072200000,0.00007500000,3.72,,0.30
"EPIC 206024342 b",22:05:06.51,-14:07:18.49,13.1,2456979.68950000,0.00370000,4.50717000000,0.00042000000,2.18,,0.27
"EPIC 206024342 c",22:05:06.51,-14:07:18.49,13.1,2457016.52991000,0.00270000,0.91172400000,7.6e-05,1.42,,0.18
"EPIC 206024342 d",22:05:06.51,-14:07:18.49,13.1,2456985.47506000,0.00380000,14.64753100000,4.1e-06,4.01,,0.87
"EPIC 206042996 b",22:30:03.27,-13:36:36.53,16.6,2456989.04620000,0.00530000,5.29860000000,0.0006,3.14,,2.0
"EPIC 206042996 c",22:30:03.27,-13:36:36.53,16.6,2457007.06827000,0.00200000,0.35488400000,6.3e-05,1.07,,0.55
"EPIC 206215704 b",22:20:22.79,-09:30:34.96,17.8,2457010.00720000,0.00180000,2.25543600000,9.1e-05,0.98,,2.7
"EPIC 206317286 b",22:30:28.28,-07:58:20.84,14.0,2456978.08220000,0.00350000,1.58316000000,0.00013,1.75,,0.30
"EPIC 206317286 c",22:30:28.28,-07:58:20.84,14.0,2456977.82730000,0.0061,17.51250000000,0.00290000000,3.94,,0.95
"EPIC 211822797 b",08:41:38.45,+17:38:23.91,15.1,2457144.40525670,0.002253,21.17019630000,0.00006620000,3.58,,1.0
"EPIC 211945201 b",09:06:17.81,+19:24:07.40,10.2,2459575.85187300,0.0007485,19.49214730000,7.9e-06,3.57,,1.7
"EPIC 212297394 b",13:48:49.47,-17:36:35.63,14.6,2457261.46070000,0.002,2.28943000000,0.00019,1.88,,0.54
"EPIC 212297394 c",13:48:49.47,-17:36:35.63,14.6,2457222.47890000,0.0028,5.21378000000,0.00035000000,2.47,,0.83
"EPIC 212424622 b",13:29:19.53,-14:21:33.97,13.4,2457227.06420000,0.0078,18.09710000000,0.0044,4.32,,0.30
"EPIC 212587672 b",13:41:46.68,-10:51:45.17,12.5,2457227.64499100,0.00454300,15.28078000000,0.00012100000,3.46,,0.19
"EPIC 212587672 c",13:41:46.68,-10:51:45.17,12.5,2457237.04249200,0.00190200,23.22855500000,7.1e-05,3.25,,0.51
"EPIC 212624936 b",14:02:33.03,-10:01:25.27,14.0,2457232.53108000,0.00250000,0.57865700000,1.6e-05,1.49,"Duration estimated. ",0.13
"EPIC 212624936 c",14:02:33.03,-10:01:25.27,14.0,2457233.78707000,0.0033,11.81143700000,0.00011,2.06,,0.72
"EPIC 212737443 b",13:36:53.16,-07:19:05.01,14.8,2457234.97000000,0.004,13.60300000000,0.0013,2.98,,1.1
"EPIC 212737443 c",13:36:53.16,-07:19:05.01,14.8,2457227.79000000,0.005,65.55000000000,0.0089,4.61,,1.1
"EPIC 220492298 b",01:07:02.76,+06:35:19.67,14.0,2457431.67734000,0.00370000,0.76240600000,0.00015,1.82,"Duration estimated. ",0.10
"EPIC 220554210 c",00:53:43.72,+07:59:43.05,14.2,2457466.11310000,0.0022,0.70531000000,3.7e-05,1.70,,0.26
"EPIC 220674823 b",00:52:19.21,+10:47:40.94,12.1,2457394.00907000,0.00069,0.57131270000,5.5e-06,1.54,,0.24
"EPIC 220674823 c",00:52:19.21,+10:47:40.94,12.1,2457405.70999000,0.0032,13.33461500000,0.0001,3.66,,0.69
"EPIC 228836835 b",12:38:17.98,-05:14:40.65,16.8,2457585.45061000,0.00140000,0.72811300000,6.3e-05,0.80,,0.68
"EPIC 229004835 b",12:25:56.65,-01:24:17.00,10.2,2457920.44584000,0.0008,16.14113200000,1.9e-05,2.10,,0.36
"EPIC 246851721 b",05:15:40.76,+16:16:43.32,11.2,2458439.87506000,0.00025,6.18026790000,2e-06,4.11,,4.6
"EPIC 248847494 b",10:37:33.38,+11:50:33.89,12.4,2457967.17000000,0.01,3650.00000000000,1280.00000000000,53.60,,1.8
"EPIC 249893012 b",15:12:59.58,-16:43:28.73,11.4,2457994.39600000,0.005,3.59510000000,0.0003,4.33,,0.11
"EPIC 249893012 c",15:12:59.58,-16:43:28.73,11.4,2457998.84100000,0.004,15.62400000000,0.001,6.37,,0.39
"EPIC 249893012 d",15:12:59.58,-16:43:28.73,11.4,2458008.65200000,0.003,35.74700000000,0.005,9.56,,0.45
"G 9-40 b",08:58:52.52,+21:04:29.27,13.8,2459503.32682000,0.00042,5.74599820000,2e-06,1.69,,3.6
"Gaia-1 b",06:02:34.48,-00:34:37.60,13.2,2460663.45496300,0.000978,3.05226855124,0.00018792103,2.26,,15.9
"Gaia-2 b",07:22:56.48,+67:15:09.56,11.3,2458843.98875000,0.00019,3.69152240000,3.9e-06,2.72,,16.3
"GJ 1132 b",10:14:50.18,-47:09:17.77,13.7,2459280.98988000,0.00013,1.62892911000,3e-07,0.77,,2.4
"GJ 1214 b",17:15:19.54,+04:57:38.45,15.1,2459639.78126190,0.00000900,1.58040453100,0.00000001800,0.87,,13.4
"GJ 1252 b",20:27:42.88,-56:27:44.23,12.7,2459060.40646000,0.00040000,0.51824180000,0.00000070000,0.72,,0.83
"GJ 143 b",03:27:00.05,-63:30:00.60,8.1,2460202.21098800,0.0008449,35.61343910000,3.24e-05,3.51,,1.6
